"ticker","wind1","wind2","wind3","sw1","sw2","sw3","avg_price"
"002241.SZ",2,23,33,0,78,19,37.3589780425157
"002252.SZ",3,8,36,20,21,14,6.30433150807462
"002271.SZ",5,19,35,13,11,120,45.74433042613764
"002304.SZ",0,6,48,24,93,117,159.63334208025879
"002311.SZ",0,6,38,7,19,219,62.443675901718265
"002352.SZ",4,21,45,8,38,105,53.20061025808813
"002371.SZ",2,22,6,0,35,80,274.22331495953694
"002410.SZ",2,15,34,3,102,180,52.334082702987395
"002414.SZ",2,23,33,1,87,63,16.038632618203447
"002415.SZ",2,23,33,3,52,59,37.19490506240688
"002459.SZ",2,22,6,27,75,15,82.73792998968075
"002460.SZ",5,19,46,4,22,43,122.18509545775865
"002466.SZ",5,19,46,4,22,43,96.95553385201191
"002475.SZ",2,23,33,0,78,19,35.38206424133604
"002493.SZ",5,19,0,29,108,144,15.97338043125683
"002555.SZ",2,15,34,9,10,148,22.63321299506866
"002594.SZ",9,13,57,26,106,99,277.0586292572046
"002600.SZ",2,23,33,0,78,19,5.312002483875852
"002601.SZ",5,19,0,23,84,89,22.1109019555667
"002602.SZ",2,15,34,9,10,148,5.89664123817207
"002648.SZ",5,19,0,23,84,242,35.68415051334537
"002709.SZ",5,19,0,27,99,183,64.85783699494337
"002714.SZ",0,6,38,7,94,212,56.03485957602978
"002736.SZ",1,18,49,28,79,147,10.140781410699192
"002756.SZ",5,19,46,4,22,43,126.93056637875443
"002812.SZ",5,19,0,27,99,183,227.95233591016304
"002821.SZ",3,8,14,20,44,123,291.8026899500829
"002841.SZ",2,23,33,0,78,135,75.18410337044583
"002916.SZ",2,23,33,0,119,145,100.89565577445832
"002920.SZ",9,13,54,3,102,180,135.58906424565487
